id,ville,commerce,specialite,note_sur_5
1,Montréal,La Banquise,Poutine classique,4.7
2,Québec,Chez Ashton,Poutine sauce brune,4.2
3,Montréal,St-Viateur Bagel,Bagel sésame,4.6
4,Sherbrooke,Café du Coin,Cortado,4.4
5,Trois-Rivières,Cabane à sucre,Tire d’érable,4.9
6,Saguenay,La Tourtière du Nord,Tourtière,4.5
7,Gaspé,Chez Loulou,Guédille de homard,4.8
8,Rimouski,Micro du Phare,IPA du Bas-du-Fleuve,4.3
9,Gatineau,Fromagerie Petite Nation,Crottes de fromage,4.1
10,Montréal,Bec Sucré,Chou à la crème,4.0
11,Québec,Le Shack à Smoke,Smoked meat,4.6
12,Magog,La Boustifaille,Soupe à l’oignon,4.5
